"PROV_YEAR","FSIZE","WAGES","NETSHARE","CASH_ABROAD","CASH_DOMESTIC","RENTALS_REC","INTEREST","PENSION","DIVIDENDS","OTHER_SOURCE","NET_RECEIPT","REGFT","NET_CFG","NET_LPR","NET_FISH","NET_FOR","NET_RET","NET_MFG","NET_COM","NET_TRANS","NET_MIN","NET_CONS","NET_NEC","EAINC","TOINC","BREAD","MEAT","FISH","MILK","FOOD_NEC","COFFEE","MINERAL","ALCOHOL","TOBACCO","FOOD_HOME","FOOD_OUTSIDE","FOOD","CLOTH","FURNISHING","HEALTH","HOUSING_WATER","RECREATION","EDUCATION","OTHER_EXPENDITURE","OTHER_DISBURSEMENT","NFOOD","TOTEX","TOTDIS","OTHREC","TOREC","FRUITVEG","TRCOM","HHI"
"ABRA_2006",4.73958333333333,39148.8125,2862.41666666667,16468.3333333333,4759.26666666667,367.083333333333,0.833333333333333,3220.50416666667,0,0,4224.19583333333,3928.54583333333,13484.5041666667,3803.0875,140,145.583333333333,3570.4125,882.266666666667,910.225,1785.09583333333,20.8333333333333,766.875,0,25508.8833333333,111983.875,16336.0625,8584.1375,6115.44166666667,3044.35833333333,5675.42083333333,3026.1125,1086.95833333333,1675.82083333333,778.525,1298.9375,46045.9625,1491.825,47537.7875,2507.6,189.9125,1481.00833333333,8598.175,5498.975,211.654166666667,5255.70833333333,3789.15416666667,8050.58333333333,51479.5,99017.2875,107067.870833333,1375.43333333333,123690.858333333,58.4142372789042
"AGUSAN DEL NORTE_2006",5.08651911468813,52805.8651911469,729.51509054326,12976.0563380282,4230.55935613682,667.706237424547,428.253521126761,6993.53722334004,26.2112676056338,37.7424547283702,2006.56941649899,4105.97987927565,7955.91146881288,1436.85714285714,871.863179074447,467.748490945674,8627.85311871227,4213.31589537223,917.734406438632,3545.24346076459,511.27967806841,28.1649899396378,385.217303822938,28912.1629778672,124028.408450704,16920.0965794769,6834.6277665996,6920.78068410463,4399.14688128773,4646.2092555332,4187.48893360161,1283.71227364185,2122.69416498994,876.189134808853,897.553319919517,47974.7605633803,3338.50704225352,51313.2676056338,2934.46076458753,282.76861167002,3368.0060362173,6814.30985915493,8841.76659959759,543.587525150905,5237.57746478873,4375.37826961771,12530.7263581489,62491.1971830986,113804.464788732,126335.191146881,8141.69416498994,135683.897384306,89.7491349480969
"AGUSAN DEL SUR_2006",4.98828125,48080.765625,1311.4453125,2040.34375,2254.67447916667,472.239583333333,205.231770833333,8033.109375,27.34375,13.0208333333333,2928.6328125,2703.73177083333,13521.8411458333,2703.92447916667,147.942708333333,2368.72135416667,8861.7265625,1084.22916666667,1722.03125,2682.5703125,2592.171875,0,72.6432291666667,35745.1197916667,109427.065104167,16646.5208333333,5888.37760416667,6584.79427083333,3264.765625,4852.75260416667,3347.54947916667,1232.27864583333,1057.48697916667,752.505208333333,1107.38541666667,43679.8854166667,1380.609375,45060.4947916667,2114.03125,281.158854166667,2347.42447916667,5533.09375,4690.21875,274.4921875,3825.1875,4268.34635416667,13802.5390625,43807.7265625,88868.2213541667,102670.760416667,5200.43489583333,118760.7890625,80.7381776239908
"AKLAN_2006",4.68421052631579,43832.5157894737,1404.62105263158,13209.6210526316,6957.36842105263,67.3684210526316,209.610526315789,1605.69473684211,0,0,3445.61578947368,7019.62631578947,5498.68947368421,1138.76315789474,3240.26842105263,126.631578947368,6836.80526315789,1206.42105263158,1068.36842105263,3360.57368421053,0,0,636,23095.1315789474,109020.752631579,11944.1684210526,5366.66842105263,6620.91578947368,2616.98421052632,3489.97894736842,3521.96842105263,1443.15263157895,764.536842105263,734.052631578947,1270.42105263158,36157.2,3346.42105263158,39503.6210526316,3019,278.105263157895,4445.48421052632,6250.45263157895,6370.38947368421,603.331578947368,5279.47368421053,3708.46842105263,13736.3263157895,55620.4473684211,95124.0684210526,108860.394736842,3681.7,117808.452631579,76.7416166502434
"ALBAY_2006",5.09756097560976,57759.8638211382,1319.23983739837,15890.487804878,10238.3658536585,1441.05691056911,148.983739837398,12072.6849593496,25.3577235772358,16.4634146341463,2844.28455284553,7710.2825203252,6528.59552845528,1217.57723577236,1453.28658536585,1122.01016260163,20553.8211382114,2610.91463414634,2330.43089430894,2731.22967479675,313.19918699187,0,1070.14227642276,39882.9532520325,166304.170731707,16285.3414634146,6861.47154471545,7167.42682926829,4510.53861788618,6104.60162601626,5864.92073170732,1599.85162601626,1304.52235772358,790.882113821138,1383.27032520325,50405.7378048781,6109.07926829268,56514.8170731707,3192.0081300813,403.093495934959,6214.5162601626,8250.19512195122,8989.21951219512,584.225609756098,5775.80284552846,5351.2012195122,19728.7743902439,82272.8130081301,138787.630081301,158516.404471545,7729.0406504065,184340.093495935,63.6122868245835
"ANTIQUE_2006",4.625,31864.9147727273,1713.4375,9686.76136363636,8452.84090909091,487.159090909091,8.52272727272727,1837.5,0,0,3683.1875,5968.00568181818,8709.28977272727,1376.875,2024.57386363636,61.4772727272727,4703.05681818182,868.215909090909,2641.40909090909,1793.26136363636,68.1818181818182,0,280.267045454545,22526.6079545455,94232.8011363636,15674.8806818182,3779.63068181818,5329.05681818182,3281.82954545455,4953.80681818182,4208.55113636364,1342.86931818182,1093.59659090909,1221.46022727273,1198.92613636364,40271.2556818182,2215.5625,42486.8181818182,2204.02272727273,197.034090909091,2001.58522727273,4699.60227272727,4303.09090909091,233.261363636364,3197.27840909091,3216.05113636364,3947.03977272727,40113.2897727273,82600.1079545455,86547.1477272727,2287.30681818182,103553.681818182,66.3105049799995
"APAYAO_2006",5.10833333333333,38499.0416666667,1853.30833333333,4861.08333333333,875,867.5,41.6666666666667,631.8,12.5,0,3940.725,3001.38333333333,39033.55,1293.69166666667,0,584.166666666667,3821.85,1416.66666666667,228.333333333333,1722.19166666667,95.8333333333333,0,0,48196.2833333333,110327.791666667,17531.8166666667,4621.21666666667,4339.39166666667,2065.64166666667,3743.1,3111.08333333333,1277.85,804.775,1088.64166666667,1330.26666666667,38202.4166666667,1178.66666666667,39381.0833333333,2539.48333333333,296.441666666667,1710.78333333333,5454.4,3744.7,356.333333333333,4078.725,6094.74166666667,5089.6,41624.475,81005.5583333333,86095.1583333333,1489.41666666667,117807.033333333,156.988263984149
"AURORA_2006",4.46491228070175,53878.8947368421,1614.85964912281,2622.80701754386,2496.14035087719,368.421052631579,0,31375.4385964912,0,0,3594.63157894737,3342.63157894737,21535.7368421053,879.771929824561,879.280701754386,0,4308.82456140351,2520.85964912281,415.789473684211,5119.29824561404,0,0,654.385964912281,36313.9473684211,149157.245614035,14520.5438596491,8861.56140350877,9675.22807017544,4221.36842105263,6029.26315789474,3945.40350877193,1289.52631578947,591.929824561404,750.701754385965,1321.85964912281,49862.1929824561,5322.56140350877,55184.7543859649,3379,246.929824561404,3412.43859649123,7006.31578947368,5579.05263157895,808.298245614035,8964.17543859649,5818.8947368421,38228.2105263158,66310.0350877193,121494.789473684,159723,11907.0175438596,164698.98245614,141.287284144427
"BASILAN_2006",4.94308943089431,30986.3902439024,2634.83739837398,6635.77235772358,1842.11382113821,0,172.357723577236,1939.91869918699,0,0,2039.59349593496,2535.47967479675,13033.0569105691,125.20325203252,8080.69105691057,659.268292682927,4684.57723577236,120.731707317073,0,14062.8455284553,0,59.349593495935,0,40825.7235772358,94978.0406504065,14158.1869918699,1439.78861788618,6012.47967479675,1619.67479674797,4361.60162601626,4452.69105691057,1717.21951219512,1244.45528455285,375.772357723577,2390.13008130081,36429.6422764228,1879.46341463415,38309.1056910569,2383.45528455285,355.585365853659,1061.16260162602,4209.90243902439,5010.78048780488,244.186991869919,2053.64227642276,3603.77235772358,2946.47967479675,39946.9918699187,78256.0975609756,81202.5772357724,1407.78861788618,99368.0243902439,137.901001596748
"BATAAN_2006",4.59024390243902,87736.8585365854,989.048780487805,43201.9512195122,10270.9756097561,654.146341463415,0,1274.34146341463,0,0,1478.49268292683,8857.06341463415,5552.65365853659,1689.2243902439,2718.26341463415,553.658536585366,12532.5853658537,2062.15609756098,5324.63414634146,10046.312195122,0,0,700.009756097561,41179.4975609756,213586.765853659,16193.7951219512,16202.6682926829,11996.8341463415,6940.21951219512,8297.12682926829,8021.93658536585,1999.99024390244,2556.61463414634,572.49756097561,2421.2243902439,72945.2195121951,11124.8975609756,84070.1170731707,4405.13170731707,213.985365853659,6799.41951219512,13299.4829268293,17633.7658536585,484.136585365854,9577.28780487805,4612.94146341463,10536.712195122,109772.390243902,193842.507317073,204379.219512195,11034.4195121951,233695.209756098,99.4809688581315
